Year,Country,Month,No of Visitors,,,,,,,,,
2013,Greece,Aug.,0,,,,,,,,,
2013,Greece,Sept.,0,,,,,,,,,
2013,Greece,Oct.,0,,,,,,,,,
2013,Greece,Nov.,0,,,,,,,,,
2013,Greece,Dec.,0,,,,,,,,,
2013,Hongkong,Jan.,15,,,,,,,,,
2013,Hongkong,Feb.,9,,,,,,,,,
2013,Hongkong,Mar.,7,,,,,,,,,
2013,Hongkong,April,32,,,,,,,,,
2013,Hongkong,May,3,,,,,,,,,
2013,Hongkong,June,1,,,,,,,,,
2013,Hongkong,July,2,,,,,,,,,
2013,Hongkong,Aug.,2,,,,,,,,,
2013,Hongkong,Sept.,6,,,,,,,,,
2013,Hongkong,Oct.,0,,,,,,,,,
2013,Hongkong,Nov.,18,,,,,,,,,
2013,Hongkong,Dec.,3,,,,,,,,,
2013,Indonesia,Jan.,0,,,,,,,,,
2013,Indonesia,Feb.,26,,,,,,,,,
2013,Indonesia,Mar.,5,,,,,,,,,
2013,Indonesia,April,11,,,,,,,,,
2013,Indonesia,May,31,,,,,,,,,
2013,Indonesia,June,0,,,,,,,,,
2013,Indonesia,July,25,,,,,,,,,
2013,Indonesia,Aug.,117,,,,,,,,,
2013,Indonesia,Sept.,70,,,,,,,,,
2013,Indonesia,Oct.,51,,,,,,,,,
2013,Indonesia,Nov.,99,,,,,,,,,
2013,Indonesia,Dec.,48,,,,,,,,,
2013,Irland,Jan.,3,,,,,,,,,
2013,Irland,Feb.,8,,,,,,,,,
2013,Irland,Mar.,2,,,,,,,,,
2013,Irland,April,10,,,,,,,,,
2013,Irland,May,5,,,,,,,,,
2013,Irland,June,8,,,,,,,,,
2013,Irland,July,1,,,,,,,,,
2013,Irland,Aug.,4,,,,,,,,,
2013,Irland,Sept.,6,,,,,,,,,
2013,Irland,Oct.,1,,,,,,,,,
2013,Irland,Nov.,1,,,,,,,,,
2013,Irland,Dec.,9,,,,,,,,,
2013,Israel,Jan.,0,,,,,,,,,
2013,Israel,Feb.,0,,,,,,,,,
2013,Israel,Mar.,13,,,,,,,,,
2013,Israel,April,10,,,,,,,,,
2013,Israel,May,9,,,,,,,,,
2013,Israel,June,16,,,,,,,,,
2013,Israel,July,2,,,,,,,,,
2013,Israel,Aug.,0,,,,,,,,,
2013,Israel,Sept.,2,,,,,,,,,
2013,Israel,Oct.,5,,,,,,,,,
2013,Israel,Nov.,3,,,,,,,,,
2013,Israel,Dec.,2,,,,,,,,,
2013,Italy,Jan.,22,,,,,,,,,
2013,Italy,Feb.,46,,,,,,,,,
2013,Italy,Mar.,37,,,,,,,,,
2013,Italy,April,49,,,,,,,,,
2013,Italy,May,16,,,,,,,,,
2013,Italy,June,22,,,,,,,,,
2013,Italy,July,10,,,,,,,,,
2013,Italy,Aug.,66,,,,,,,,,
2013,Italy,Sept.,8,,,,,,,,,
2013,Italy,Oct.,13,,,,,,,,,
2013,Italy,Nov.,28,,,,,,,,,
2013,Italy,Dec.,36,,,,,,,,,
2013,Japan,Jan.,136,,,,,,,,,
2013,Japan,Feb.,505,,,,,,,,,
2013,Japan,Mar.,399,,,,,,,,,
2013,Japan,April,53,,,,,,,,,
2013,Japan,May,82,,,,,,,,,
2013,Japan,June,29,,,,,,,,,
2013,Japan,July,58,,,,,,,,,
2013,Japan,Aug.,95,,,,,,,,,
2013,Japan,Sept.,157,,,,,,,,,
2013,Japan,Oct.,200,,,,,,,,,
2013,Japan,Nov.,321,,,,,,,,,
2013,Japan,Dec.,221,,,,,,,,,
2013,Malaysia,Jan.,71,,,,,,,,,
2013,Malaysia,Feb.,81,,,,,,,,,
2013,Malaysia,Mar.,143,,,,,,,,,
2013,Malaysia,April,36,,,,,,,,,
2013,Malaysia,May,80,,,,,,,,,
2013,Malaysia,June,100,,,,,,,,,
2013,Malaysia,July,18,,,,,,,,,
2013,Malaysia,Aug.,37,,,,,,,,,
2013,Malaysia,Sept.,86,,,,,,,,,
2013,Malaysia,Oct.,140,,,,,,,,,
2013,Malaysia,Nov.,257,,,,,,,,,
2013,Malaysia,Dec.,428,,,,,,,,,
2013,Mexico,Jan.,40,,,,,,,,,
2013,Mexico,Feb.,0,,,,,,,,,
2013,Mexico,Mar.,6,,,,,,,,,
2013,Mexico,April,4,,,,,,,,,
2013,Mexico,May,7,,,,,,,,,
2013,Mexico,June,10,,,,,,,,,
2013,Mexico,July,0,,,,,,,,,
2013,Mexico,Aug.,0,,,,,,,,,
2013,Mexico,Sept.,0,,,,,,,,,
2013,Mexico,Oct.,0,,,,,,,,,
2013,Mexico,Nov.,0,,,,,,,,,
2013,Mexico,Dec.,4,,,,,,,,,
2013,Myanmar,Jan.,"1,882",,,,,,,,,
2013,Myanmar,Feb.,"2,973",,,,,,,,,
2013,Myanmar,Mar.,"3,632",,,,,,,,,
2013,Myanmar,April,"1,987",,,,,,,,,
2013,Myanmar,May,159,,,,,,,,,
2013,Myanmar,June,175,,,,,,,,,
2013,Myanmar,July,126,,,,,,,,,
2013,Myanmar,Aug.,99,,,,,,,,,
2013,Myanmar,Sept.,141,,,,,,,,,
2013,Myanmar,Oct.,"1,419",,,,,,,,,
2013,Myanmar,Nov.,"2,298",,,,,,,,,
2013,Myanmar,Dec.,"1,906",,,,,,,,,
2013,Netherlands,Jan.,139,,,,,,,,,
2013,Netherlands,Feb.,229,,,,,,,,,
2013,Netherlands,Mar.,383,,,,,,,,,
2013,Netherlands,April,120,,,,,,,,,
2013,Netherlands,May,71,,,,,,,,,
2013,Netherlands,June,23,,,,,,,,,
2013,Netherlands,July,120,,,,,,,,,
2013,Netherlands,Aug.,90,,,,,,,,,
2013,Netherlands,Sept.,141,,,,,,,,,
2013,Netherlands,Oct.,151,,,,,,,,,
2013,Netherlands,Nov.,187,,,,,,,,,
2013,Netherlands,Dec.,95,,,,,,,,,
2013,New Zealand,Jan.,19,,,,,,,,,
2013,New Zealand,Feb.,0,,,,,,,,,
2013,New Zealand,Mar.,28,,,,,,,,,
2013,New Zealand,April,7,,,,,,,,,
2013,New Zealand,May,20,,,,,,,,,
2013,New Zealand,June,40,,,,,,,,,
2013,New Zealand,July,31,,,,,,,,,
2013,New Zealand,Aug.,0,,,,,,,,,
2013,New Zealand,Sept.,0,,,,,,,,,
2013,New Zealand,Oct.,20,,,,,,,,,
2013,New Zealand,Nov.,2,,,,,,,,,
2013,New Zealand,Dec.,4,,,,,,,,,
2013,Norway,Jan.,21,,,,,,,,,
2013,Norway,Feb.,21,,,,,,,,,
2013,Norway,Mar.,30,,,,,,,,,
2013,Norway,April,0,,,,,,,,,
2013,Norway,May,3,,,,,,,,,
2013,Norway,June,0,,,,,,,,,
2013,Norway,July,0,,,,,,,,,
2013,Norway,Aug.,3,,,,,,,,,
2013,Norway,Sept.,0,,,,,,,,,
2013,Norway,Oct.,0,,,,,,,,,
2013,Norway,Nov.,19,,,,,,,,,
2013,Norway,Dec.,0,,,,,,,,,
2013,Pakistan,Jan.,0,,,,,,,,,
2013,Pakistan,Feb.,2,,,,,,,,,
2013,Pakistan,Mar.,2,,,,,,,,,
2013,Pakistan,April,3,,,,,,,,,
2013,Pakistan,May,0,,,,,,,,,
2013,Pakistan,June,4,,,,,,,,,
2013,Pakistan,July,1,,,,,,,,,
2013,Pakistan,Aug.,4,,,,,,,,,
2013,Pakistan,Sept.,0,,,,,,,,,
2013,Pakistan,Oct.,0,,,,,,,,,
2013,Pakistan,Nov.,1,,,,,,,,,
2013,Pakistan,Dec.,5,,,,,,,,,
2013,Philipines,Jan.,1,,,,,,,,,
2013,Philipines,Feb.,0,,,,,,,,,
2013,Philipines,Mar.,0,,,,,,,,,
2013,Philipines,April,1,,,,,,,,,
2013,Philipines,May,7,,,,,,,,,
2013,Philipines,June,1,,,,,,,,,
2013,Philipines,July,0,,,,,,,,,
2013,Philipines,Aug.,0,,,,,,,,,
2013,Philipines,Sept.,0,,,,,,,,,
2013,Philipines,Oct.,5,,,,,,,,,
2013,Philipines,Nov.,3,,,,,,,,,
2013,Philipines,Dec.,10,,,,,,,,,
2013,Poland,Jan.,28,,,,,,,,,
2013,Poland,Feb.,34,,,,,,,,,
2013,Poland,Mar.,36,,,,,,,,,
2013,Poland,April,55,,,,,,,,,
2013,Poland,May,4,,,,,,,,,
2013,Poland,June,4,,,,,,,,,
2013,Poland,July,15,,,,,,,,,
2013,Poland,Aug.,43,,,,,,,,,
2013,Poland,Sept.,1,,,,,,,,,
2013,Poland,Oct.,0,,,,,,,,,
2013,Poland,Nov.,86,,,,,,,,,
2013,Poland,Dec.,0,,,,,,,,,
2013,Portugal,Jan.,1,,,,,,,,,
2013,Portugal,Feb.,0,,,,,,,,,
2013,Portugal,Mar.,1,,,,,,,,,
2013,Portugal,April,8,,,,,,,,,
2013,Portugal,May,9,,,,,,,,,
2013,Portugal,June,4,,,,,,,,,
2013,Portugal,July,0,,,,,,,,,
2013,Portugal,Aug.,0,,,,,,,,,
2013,Portugal,Sept.,0,,,,,,,,,
2013,Portugal,Oct.,0,,,,,,,,,
2013,Portugal,Nov.,1,,,,,,,,,
2013,Portugal,Dec.,2,,,,,,,,,
2013,Republic of Korea,Jan.,"1,738",,,,,,,,,
2013,Republic of Korea,Feb.,400,,,,,,,,,
2013,Republic of Korea,Mar.,480,,,,,,,,,
2013,Republic of Korea,April,188,,,,,,,,,
