Year,Country,Month,No of Visitors,,,,,,,,,
2012,Turky,July,0,,,,,,,,,
2012,Turky,Aug.,2,,,,,,,,,
2012,Turky,Sept.,0,,,,,,,,,
2012,Turky,Oct.,0,,,,,,,,,
2012,Turky,Nov.,1,,,,,,,,,
2012,Turky,Dec.,0,,,,,,,,,
2012,U.K.,Jan.,104,,,,,,,,,
2012,U.K.,Feb.,178,,,,,,,,,
2012,U.K.,Mar.,111,,,,,,,,,
2012,U.K.,April,176,,,,,,,,,
2012,U.K.,May,80,,,,,,,,,
2012,U.K.,June,56,,,,,,,,,
2012,U.K.,July,13,,,,,,,,,
2012,U.K.,Aug.,131,,,,,,,,,
2012,U.K.,Sept.,79,,,,,,,,,
2012,U.K.,Oct.,218,,,,,,,,,
2012,U.K.,Nov.,153,,,,,,,,,
2012,U.K.,Dec.,110,,,,,,,,,
2012,U.S.A.,Jan.,143,,,,,,,,,
2012,U.S.A.,Feb.,119,,,,,,,,,
2012,U.S.A.,Mar.,44,,,,,,,,,
2012,U.S.A.,April,78,,,,,,,,,
2012,U.S.A.,May,38,,,,,,,,,
2012,U.S.A.,June,59,,,,,,,,,
2012,U.S.A.,July,189,,,,,,,,,
2012,U.S.A.,Aug.,80,,,,,,,,,
2012,U.S.A.,Sept.,63,,,,,,,,,
2012,U.S.A.,Oct.,143,,,,,,,,,
2012,U.S.A.,Nov.,125,,,,,,,,,
2012,U.S.A.,Dec.,135,,,,,,,,,
2012,Ukrain,Jan.,0,,,,,,,,,
2012,Ukrain,Feb.,0,,,,,,,,,
2012,Ukrain,Mar.,2,,,,,,,,,
2012,Ukrain,April,20,,,,,,,,,
2012,Ukrain,May,2,,,,,,,,,
2012,Ukrain,June,1,,,,,,,,,
2012,Ukrain,July,0,,,,,,,,,
2012,Ukrain,Aug.,4,,,,,,,,,
2012,Ukrain,Sept.,0,,,,,,,,,
2012,Ukrain,Oct.,14,,,,,,,,,
2012,Ukrain,Nov.,0,,,,,,,,,
2012,Ukrain,Dec.,11,,,,,,,,,
2012,Vietnam,Jan.,166,,,,,,,,,
2012,Vietnam,Feb.,602,,,,,,,,,
2012,Vietnam,Mar.,378,,,,,,,,,
2012,Vietnam,April,177,,,,,,,,,
2012,Vietnam,May,70,,,,,,,,,
2012,Vietnam,June,39,,,,,,,,,
2012,Vietnam,July,17,,,,,,,,,
2012,Vietnam,Aug.,27,,,,,,,,,
2012,Vietnam,Sept.,196,,,,,,,,,
2012,Vietnam,Oct.,527,,,,,,,,,
2012,Vietnam,Nov.,740,,,,,,,,,
2012,Vietnam,Dec.,649,,,,,,,,,
2012,Others,Jan.,68,,,,,,,,,
2012,Others,Feb.,4,,,,,,,,,
2012,Others,Mar.,169,,,,,,,,,
2012,Others,April,52,,,,,,,,,
2012,Others,May,267,,,,,,,,,
2012,Others,June,2,,,,,,,,,
2012,Others,July,4,,,,,,,,,
2012,Others,Aug.,10,,,,,,,,,
2012,Others,Sept.,16,,,,,,,,,
2012,Others,Oct.,31,,,,,,,,,
2012,Others,Nov.,42,,,,,,,,,
2012,Others,Dec.,9,,,,,,,,,
