Year AD,Year BS,Country,Month,No of Visitors
2012,2069,Slovakia,Feb.,0
2012,2069,Slovakia,Mar.,0
2012,2069,Slovakia,April,0
2012,2069,Slovakia,May,1
2012,2069,Slovakia,June,3
2012,2069,Slovakia,July,0
2012,2069,Slovakia,Aug.,40
2012,2069,Slovakia,Sept.,1
2012,2069,Slovakia,Oct.,1
2012,2069,Slovakia,Nov.,0
2012,2069,Slovakia,Dec.,4
2012,2069,South Africa,Jan.,0
2012,2069,South Africa,Feb.,0
2012,2069,South Africa,Mar.,0
2012,2069,South Africa,April,4
2012,2069,South Africa,May,0
2012,2069,South Africa,June,0
2012,2069,South Africa,July,0
2012,2069,South Africa,Aug.,0
2012,2069,South Africa,Sept.,0
2012,2069,South Africa,Oct.,4
2012,2069,South Africa,Nov.,3
2012,2069,South Africa,Dec.,2
2012,2069,Spain,Jan.,0
2012,2069,Spain,Feb.,0
2012,2069,Spain,Mar.,18
2012,2069,Spain,April,54
2012,2069,Spain,May,5
2012,2069,Spain,June,5
2012,2069,Spain,July,22
2012,2069,Spain,Aug.,151
2012,2069,Spain,Sept.,40
2012,2069,Spain,Oct.,79
2012,2069,Spain,Nov.,43
2012,2069,Spain,Dec.,37
2012,2069,Srilanka,Jan.,85
2012,2069,Srilanka,Feb.,7736
2012,2069,Srilanka,Mar.,10384
2012,2069,Srilanka,April,1689
2012,2069,Srilanka,May,35
2012,2069,Srilanka,June,54
2012,2069,Srilanka,July,709
2012,2069,Srilanka,Aug.,15035
2012,2069,Srilanka,Sept.,5295
2012,2069,Srilanka,Oct.,4344
2012,2069,Srilanka,Nov.,5982
2012,2069,Srilanka,Dec.,1323
2012,2069,Sweden,Jan.,0
2012,2069,Sweden,Feb.,2
2012,2069,Sweden,Mar.,3
2012,2069,Sweden,April,25
2012,2069,Sweden,May,0
2012,2069,Sweden,June,4
2012,2069,Sweden,July,0
2012,2069,Sweden,Aug.,0
2012,2069,Sweden,Sept.,7
2012,2069,Sweden,Oct.,4
2012,2069,Sweden,Nov.,19
2012,2069,Sweden,Dec.,11
2012,2069,Switzerland,Jan.,6
2012,2069,Switzerland,Feb.,9
2012,2069,Switzerland,Mar.,29
2012,2069,Switzerland,April,55
2012,2069,Switzerland,May,1
2012,2069,Switzerland,June,6
2012,2069,Switzerland,July,3
2012,2069,Switzerland,Aug.,8
2012,2069,Switzerland,Sept.,15
2012,2069,Switzerland,Oct.,50
2012,2069,Switzerland,Nov.,99
2012,2069,Switzerland,Dec.,18
2012,2069,Taiwan,Jan.,64
2012,2069,Taiwan,Feb.,277
2012,2069,Taiwan,Mar.,200
2012,2069,Taiwan,April,86
2012,2069,Taiwan,May,46
2012,2069,Taiwan,June,22
2012,2069,Taiwan,July,0
2012,2069,Taiwan,Aug.,40
2012,2069,Taiwan,Sept.,51
2012,2069,Taiwan,Oct.,98
2012,2069,Taiwan,Nov.,347
2012,2069,Taiwan,Dec.,115
2012,2069,Thailand,Jan.,1593
2012,2069,Thailand,Feb.,5044
2012,2069,Thailand,Mar.,4124
2012,2069,Thailand,April,1744
2012,2069,Thailand,May,249
2012,2069,Thailand,June,457
2012,2069,Thailand,July,371
2012,2069,Thailand,Aug.,441
2012,2069,Thailand,Sept.,375
2012,2069,Thailand,Oct.,2456
2012,2069,Thailand,Nov.,6312
2012,2069,Thailand,Dec.,5314
2012,2069,Turky,Jan.,0
2012,2069,Turky,Feb.,0
2012,2069,Turky,Mar.,1
2012,2069,Turky,April,8
2012,2069,Turky,May,1
2012,2069,Turky,June,0
2012,2069,Turky,July,0
2012,2069,Turky,Aug.,2
2012,2069,Turky,Sept.,0
2012,2069,Turky,Oct.,0
2012,2069,Turky,Nov.,1
2012,2069,Turky,Dec.,0
2012,2069,U.K.,Jan.,104
2012,2069,U.K.,Feb.,178
2012,2069,U.K.,Mar.,111
2012,2069,U.K.,April,176
2012,2069,U.K.,May,80
2012,2069,U.K.,June,56
2012,2069,U.K.,July,13
2012,2069,U.K.,Aug.,131
2012,2069,U.K.,Sept.,79
2012,2069,U.K.,Oct.,218
2012,2069,U.K.,Nov.,153
2012,2069,U.K.,Dec.,110
2012,2069,U.S.A.,Jan.,143
2012,2069,U.S.A.,Feb.,119
2012,2069,U.S.A.,Mar.,44
2012,2069,U.S.A.,April,78
2012,2069,U.S.A.,May,38
2012,2069,U.S.A.,June,59
2012,2069,U.S.A.,July,189
2012,2069,U.S.A.,Aug.,80
2012,2069,U.S.A.,Sept.,63
2012,2069,U.S.A.,Oct.,143
2012,2069,U.S.A.,Nov.,125
2012,2069,U.S.A.,Dec.,135
2012,2069,Ukrain,Jan.,0
2012,2069,Ukrain,Feb.,0
2012,2069,Ukrain,Mar.,2
2012,2069,Ukrain,April,20
2012,2069,Ukrain,May,2
2012,2069,Ukrain,June,1
2012,2069,Ukrain,July,0
2012,2069,Ukrain,Aug.,4
2012,2069,Ukrain,Sept.,0
2012,2069,Ukrain,Oct.,14
2012,2069,Ukrain,Nov.,0
2012,2069,Ukrain,Dec.,11
2012,2069,Vietnam,Jan.,166
2012,2069,Vietnam,Feb.,602
2012,2069,Vietnam,Mar.,378
2012,2069,Vietnam,April,177
2012,2069,Vietnam,May,70
2012,2069,Vietnam,June,39
2012,2069,Vietnam,July,17
2012,2069,Vietnam,Aug.,27
2012,2069,Vietnam,Sept.,196
2012,2069,Vietnam,Oct.,527
2012,2069,Vietnam,Nov.,740
2012,2069,Vietnam,Dec.,649
2012,2069,Others,Jan.,68
2012,2069,Others,Feb.,4
2012,2069,Others,Mar.,169
2012,2069,Others,April,52
2012,2069,Others,May,267
2012,2069,Others,June,2
2012,2069,Others,July,4
2012,2069,Others,Aug.,10
2012,2069,Others,Sept.,16
2012,2069,Others,Oct.,31
2012,2069,Others,Nov.,42
2012,2069,Others,Dec.,9
2013,2070,Afghanistan,Jan.,0
2013,2070,Afghanistan,Feb.,0
2013,2070,Afghanistan,Mar.,0
2013,2070,Afghanistan,April,0
2013,2070,Afghanistan,May,0
2013,2070,Afghanistan,June,0
2013,2070,Afghanistan,July,0
2013,2070,Afghanistan,Aug.,0
2013,2070,Afghanistan,Sept.,0
2013,2070,Afghanistan,Oct.,0
2013,2070,Afghanistan,Nov.,0
2013,2070,Afghanistan,Dec.,0
2013,2070,Argentina,Jan.,4
2013,2070,Argentina,Feb.,6
2013,2070,Argentina,Mar.,14
2013,2070,Argentina,April,8
2013,2070,Argentina,May,4
2013,2070,Argentina,June,5
2013,2070,Argentina,July,9
2013,2070,Argentina,Aug.,5
2013,2070,Argentina,Sept.,0
2013,2070,Argentina,Oct.,4
2013,2070,Argentina,Nov.,0
2013,2070,Argentina,Dec.,3
2013,2070,Australia,Jan.,132
2013,2070,Australia,Feb.,93
2013,2070,Australia,Mar.,214
2013,2070,Australia,April,128
2013,2070,Australia,May,91
2013,2070,Australia,June,61
2013,2070,Australia,July,57
2013,2070,Australia,Aug.,44
2013,2070,Australia,Sept.,78
2013,2070,Australia,Oct.,176
2013,2070,Australia,Nov.,202
2013,2070,Australia,Dec.,167
2013,2070,Austria,Jan.,0
2013,2070,Austria,Feb.,10
2013,2070,Austria,Mar.,18
2013,2070,Austria,April,14
2013,2070,Austria,May,2
2013,2070,Austria,June,3
2013,2070,Austria,July,0
2013,2070,Austria,Aug.,0
2013,2070,Austria,Sept.,3
2013,2070,Austria,Oct.,11
2013,2070,Austria,Nov.,0
2013,2070,Austria,Dec.,3
2013,2070,Bangladesh,Jan.,0
2013,2070,Bangladesh,Feb.,1
2013,2070,Bangladesh,Mar.,8
2013,2070,Bangladesh,April,0
2013,2070,Bangladesh,May,9
2013,2070,Bangladesh,June,4
2013,2070,Bangladesh,July,8
2013,2070,Bangladesh,Aug.,0
2013,2070,Bangladesh,Sept.,1
2013,2070,Bangladesh,Oct.,8
2013,2070,Bangladesh,Nov.,4
2013,2070,Bangladesh,Dec.,6
2013,2070,Belguium,Jan.,27
2013,2070,Belguium,Feb.,13
2013,2070,Belguium,Mar.,28
2013,2070,Belguium,April,22
2013,2070,Belguium,May,15
2013,2070,Belguium,June,10
2013,2070,Belguium,July,1
2013,2070,Belguium,Aug.,14
2013,2070,Belguium,Sept.,17
2013,2070,Belguium,Oct.,7
2013,2070,Belguium,Nov.,14
2013,2070,Belguium,Dec.,20
2013,2070,Bhutan,Jan.,40
2013,2070,Bhutan,Feb.,8
2013,2070,Bhutan,Mar.,4
2013,2070,Bhutan,April,28
2013,2070,Bhutan,May,13
2013,2070,Bhutan,June,0
2013,2070,Bhutan,July,0
2013,2070,Bhutan,Aug.,0
2013,2070,Bhutan,Sept.,0
2013,2070,Bhutan,Oct.,14
2013,2070,Bhutan,Nov.,0
2013,2070,Bhutan,Dec.,22
2013,2070,Brazil,Jan.,3
2013,2070,Brazil,Feb.,2
2013,2070,Brazil,Mar.,12
2013,2070,Brazil,April,3
2013,2070,Brazil,May,9
2013,2070,Brazil,June,7
2013,2070,Brazil,July,0
2013,2070,Brazil,Aug.,2
2013,2070,Brazil,Sept.,0
2013,2070,Brazil,Oct.,7
2013,2070,Brazil,Nov.,0
2013,2070,Brazil,Dec.,2
2013,2070,Bulgeria,Jan.,4
2013,2070,Bulgeria,Feb.,0
2013,2070,Bulgeria,Mar.,0
2013,2070,Bulgeria,April,9
2013,2070,Bulgeria,May,0
2013,2070,Bulgeria,June,0
2013,2070,Bulgeria,July,0
2013,2070,Bulgeria,Aug.,0
2013,2070,Bulgeria,Sept.,0
2013,2070,Bulgeria,Oct.,0
2013,2070,Bulgeria,Nov.,10
2013,2070,Bulgeria,Dec.,1
2013,2070,Cambodia,Jan.,36
2013,2070,Cambodia,Feb.,522
2013,2070,Cambodia,Mar.,82
2013,2070,Cambodia,April,0
2013,2070,Cambodia,May,7
2013,2070,Cambodia,June,3
2013,2070,Cambodia,July,5
2013,2070,Cambodia,Aug.,0
2013,2070,Cambodia,Sept.,0
2013,2070,Cambodia,Oct.,0
2013,2070,Cambodia,Nov.,342
2013,2070,Cambodia,Dec.,7
2013,2070,Canada,Jan.,20
2013,2070,Canada,Feb.,81
2013,2070,Canada,Mar.,105
2013,2070,Canada,April,49
2013,2070,Canada,May,59
2013,2070,Canada,June,16
2013,2070,Canada,July,23
2013,2070,Canada,Aug.,19
2013,2070,Canada,Sept.,2
2013,2070,Canada,Oct.,31
2013,2070,Canada,Nov.,30
