Year AD,Year BS,Country,Month,No of visitors
2013/2014,2070/71,Mexico,June,10
2013/2014,2070/71,Mexico,Dec.,4
2013/2014,2070/71,Myanmar,Jan.,1882
2013/2014,2070/71,Myanmar,Feb.,2973
2013/2014,2070/71,Myanmar,Mar.,3632
2013/2014,2070/71,Myanmar,April,1987
2013/2014,2070/71,Myanmar,May,159
2013/2014,2070/71,Myanmar,June,175
2013/2014,2070/71,Myanmar,July,126
2013/2014,2070/71,Myanmar,Aug.,99
2013/2014,2070/71,Myanmar,Sept.,141
2013/2014,2070/71,Myanmar,Oct.,1419
2013/2014,2070/71,Myanmar,Nov.,2298
2013/2014,2070/71,Myanmar,Dec.,1906
2013/2014,2070/71,Netherlands,Jan.,139
2013/2014,2070/71,Netherlands,Feb.,229
2013/2014,2070/71,Netherlands,Mar.,383
2013/2014,2070/71,Netherlands,April,120
2013/2014,2070/71,Netherlands,May,71
2013/2014,2070/71,Netherlands,June,23
2013/2014,2070/71,Netherlands,July,120
2013/2014,2070/71,Netherlands,Aug.,90
2013/2014,2070/71,Netherlands,Sept.,141
2013/2014,2070/71,Netherlands,Oct.,151
2013/2014,2070/71,Netherlands,Nov.,187
2013/2014,2070/71,Netherlands,Dec.,95
2013/2014,2070/71,New Zealands,Jan.,19
2013/2014,2070/71,New Zealands,Mar.,28
2013/2014,2070/71,New Zealands,April,7
2013/2014,2070/71,New Zealands,May,20
2013/2014,2070/71,New Zealands,June,40
2013/2014,2070/71,New Zealands,July,31
2013/2014,2070/71,New Zealands,Oct.,20
2013/2014,2070/71,New Zealands,Nov.,2
2013/2014,2070/71,New Zealands,Dec.,4
2013/2014,2070/71,Norway,Jan.,21
2013/2014,2070/71,Norway,Feb.,21
2013/2014,2070/71,Norway,Mar.,30
2013/2014,2070/71,Norway,May,3
2013/2014,2070/71,Norway,Aug.,3
2013/2014,2070/71,Norway,Nov.,19
2013/2014,2070/71,Pakistan,Jan.,2
2013/2014,2070/71,Pakistan,Feb.,2
2013/2014,2070/71,Pakistan,Mar.,3
2013/2014,2070/71,Pakistan,May,4
2013/2014,2070/71,Pakistan,June,1
2013/2014,2070/71,Pakistan,July,4
2013/2014,2070/71,Pakistan,Oct.,1
2013/2014,2070/71,Pakistan,Nov.,5
2013/2014,2070/71,Philipines,Jan.,1
2013/2014,2070/71,Philipines,April,1
2013/2014,2070/71,Philipines,May,7
2013/2014,2070/71,Philipines,June,1
2013/2014,2070/71,Philipines,Oct.,5
2013/2014,2070/71,Philipines,Nov.,3
2013/2014,2070/71,Philipines,Dec.,10
2013/2014,2070/71,Poland,Jan.,28
2013/2014,2070/71,Poland,Feb.,34
2013/2014,2070/71,Poland,Mar.,36
2013/2014,2070/71,Poland,April,55
2013/2014,2070/71,Poland,May,4
2013/2014,2070/71,Poland,June,4
2013/2014,2070/71,Poland,July,15
2013/2014,2070/71,Poland,Aug.,43
2013/2014,2070/71,Poland,Sept.,1
2013/2014,2070/71,Poland,Nov.,86
2013/2014,2070/71,Portugal,Jan.,1
2013/2014,2070/71,Portugal,Mar.,1
2013/2014,2070/71,Portugal,April,8
2013/2014,2070/71,Portugal,May,9
2013/2014,2070/71,Portugal,June,4
2013/2014,2070/71,Portugal,Nov.,1
2013/2014,2070/71,Portugal,Dec.,2
2013/2014,2070/71,Republic of Korea,Jan.,1738
2013/2014,2070/71,Republic of Korea,Feb.,400
2013/2014,2070/71,Republic of Korea,Mar.,480
2013/2014,2070/71,Republic of Korea,April,188
2013/2014,2070/71,Republic of Korea,May,177
2013/2014,2070/71,Republic of Korea,June,174
2013/2014,2070/71,Republic of Korea,July,189
2013/2014,2070/71,Republic of Korea,Aug.,102
2013/2014,2070/71,Republic of Korea,Sept.,153
2013/2014,2070/71,Republic of Korea,Oct.,240
2013/2014,2070/71,Republic of Korea,Nov.,842
2013/2014,2070/71,Republic of Korea,Dec.,745
2013/2014,2070/71,Romania,Mar.,2
2013/2014,2070/71,Romania,April,1
2013/2014,2070/71,Romania,May,3
2013/2014,2070/71,Romania,June,2
2013/2014,2070/71,Romania,Aug.,28
2013/2014,2070/71,Romania,Sept.,2
