Year AD,Year BS,Month,Crime,Number of tourist
2011,2068,Nov.,Others,3
2012,2069,Nov.,Others,3
2013,2070,Nov.,Others,8
2014,2071,Nov.,Others,6
2009,2066,Nov.,Theft/Robbery,14
2010,2067,Nov.,Theft/Robbery,30
2011,2068,Nov.,Theft/Robbery,48
2012,2069,Nov.,Theft/Robbery,37
2013,2070,Nov.,Theft/Robbery,31
2014,2071,Nov.,Theft/Robbery,28
2009,2066,Oct.,Cheating/ Froud,3
2010,2067,Oct.,Cheating/ Froud,0
2011,2068,Oct.,Cheating/ Froud,1
2012,2069,Oct.,Cheating/ Froud,6
2013,2070,Oct.,Cheating/ Froud,3
2014,2071,Oct.,Cheating/ Froud,6
2009,2066,Oct.,Lost/Missing,45
2010,2067,Oct.,Lost/Missing,48
2011,2068,Oct.,Lost/Missing,49
2012,2069,Oct.,Lost/Missing,36
2013,2070,Oct.,Lost/Missing,47
2014,2071,Oct.,Lost/Missing,49
2009,2066,Oct.,Others,2
2010,2067,Oct.,Others,0
2011,2068,Oct.,Others,5
2012,2069,Oct.,Others,2
2013,2070,Oct.,Others,7
2014,2071,Oct.,Others,3
2009,2066,Oct.,Theft/Robbery,39
2010,2067,Oct.,Theft/Robbery,44
2011,2068,Oct.,Theft/Robbery,44
2012,2069,Oct.,Theft/Robbery,43
2013,2070,Oct.,Theft/Robbery,55
2014,2071,Oct.,Theft/Robbery,27
2009,2066,Sep.,Cheating/ Froud,1
2010,2067,Sep.,Cheating/ Froud,2
2011,2068,Sep.,Cheating/ Froud,2
2012,2069,Sep.,Cheating/ Froud,3
2013,2070,Sep.,Cheating/ Froud,6
2014,2071,Sep.,Cheating/ Froud,2
2009,2066,Sep.,Lost/Missing,22
2010,2067,Sep.,Lost/Missing,25
2011,2068,Sep.,Lost/Missing,37
2012,2069,Sep.,Lost/Missing,24
2013,2070,Sep.,Lost/Missing,38
2014,2071,Sep.,Lost/Missing,57
2009,2066,Sep.,Others,2
2010,2067,Sep.,Others,0
2011,2068,Sep.,Others,2
2012,2069,Sep.,Others,1
2013,2070,Sep.,Others,3
2014,2071,Sep.,Others,6
2009,2066,Sep.,Theft/Robbery,18
2010,2067,Sep.,Theft/Robbery,22
2011,2068,Sep.,Theft/Robbery,26
2012,2069,Sep.,Theft/Robbery,30
2013,2070,Sep.,Theft/Robbery,37
2014,2071,Sep.,Theft/Robbery,13
