Year,Airline,Country,No of tourist
2012,Pakisthan Int'l Airlines,Slovakia,0
2012,Pakisthan Int'l Airlines,South Africa,2
2012,Pakisthan Int'l Airlines,Spain,5
2012,Pakisthan Int'l Airlines,Sri Lanka,2
2012,Pakisthan Int'l Airlines,Sweden,3
2012,Pakisthan Int'l Airlines,Switzerland,1
2012,Pakisthan Int'l Airlines,Thailand,0
2012,Pakisthan Int'l Airlines,Turkey,1
2012,Pakisthan Int'l Airlines,Ukraine,0
2012,Pakisthan Int'l Airlines,UK,29
2012,Pakisthan Int'l Airlines,USA,40
2012,Pakisthan Int'l Airlines,Vietnam,0
2012,Pakisthan Int'l Airlines,Taiwan,10
2012,Pakisthan Int'l Airlines,Others,26
2012,Pakisthan Int'l Airlines,Not Sp,25
2012,Jet Airways,Afghanistan,62
2012,Jet Airways,Argentina,130
2012,Jet Airways,Australia,1367
2012,Jet Airways,Austria,274
2012,Jet Airways,Bangladesh,96
2012,Jet Airways,Belgium,863
2012,Jet Airways,Bhutan,95
2012,Jet Airways,Brazil,129
2012,Jet Airways,Bulgaria,69
2012,Jet Airways,Cambodia,11
2012,Jet Airways,Canada,2427
2012,Jet Airways,China,2435
2012,Jet Airways,Czech Republic,829
2012,Jet Airways,Denmark,396
2012,Jet Airways,Finland,305
2012,Jet Airways,France,2306
2012,Jet Airways,Germany,1692
2012,Jet Airways,Greece,84
2012,Jet Airways,India,30729
2012,Jet Airways,Indonesia,74
2012,Jet Airways,Ireland,338
2012,Jet Airways,Israel,1534
2012,Jet Airways,Italy,1872
2012,Jet Airways,Japan,733
2012,Jet Airways,Malaysia,254
2012,Jet Airways,Mexico,170
2012,Jet Airways,Myanmar,49
2012,Jet Airways,Netherland,1722
2012,Jet Airways,New Zealand,250
2012,Jet Airways,Norway,459
2012,Jet Airways,Pakistan,68
2012,Jet Airways,Philippines,104
2012,Jet Airways,Poland,708
2012,Jet Airways,Portugal,181
2012,Jet Airways,Republic of Korea,240
2012,Jet Airways,Romania,72
2012,Jet Airways,Russian Federation,1980
2012,Jet Airways,Saudi Arabia,147
2012,Jet Airways,Singapore,267
2012,Jet Airways,Slovakia,241
2012,Jet Airways,South Africa,128
2012,Jet Airways,Spain,1380
2012,Jet Airways,Sri Lanka,838
2012,Jet Airways,Sweden,377
2012,Jet Airways,Switzerland,643
2012,Jet Airways,Thailand,109
2012,Jet Airways,Turkey,212
2012,Jet Airways,Ukraine,120
2012,Jet Airways,UK,9414
2012,Jet Airways,USA,5997
2012,Jet Airways,Vietnam,19
2012,Jet Airways,Taiwan,128
